id,kind,parent,description,implemented_by,verified_by,standard_objective,phase,profile
TETHYS-DES-0005,DES,TETHYS-REQ-P1-001,GET_VERSION command handler — 6-byte response with protocol/transport major+minor,slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ASAM XCP 1.4 Part 2 §1.4.2.1,1,marine|space
TETHYS-DES-0006,DES,TETHYS-REQ-P1-001,Session init (tethys_xcp_init) — zeroes session state; null-pointer safe,slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ASAM XCP 1.4 Part 2 §1.3.1; MISRA C:2023 Rule 17.7,1,marine|space
TETHYS-DES-0007,DES,TETHYS-ADR-0005,Attach-memory hook (tethys_xcp_attach_memory) — caller-owned buffer; no module-level globals,slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ECSS-E-ST-40C Rev.1 §5.4.3.4; MISRA C:2023 Dir 4.12,1,marine|space
TETHYS-DES-0008,DES,TETHYS-REQ-P1-001,SET_MTA command handler — 1-byte response; decodes little-endian u32 address + extension,slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ASAM XCP 1.4 Part 2 §1.3.3.1,2,marine|space
TETHYS-DES-0009,DES,TETHYS-REQ-P1-001,UPLOAD command handler — N bytes from MTA with auto-increment; ERR_OUT_OF_RANGE on span overflow,slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ASAM XCP 1.4 Part 2 §1.3.3.2,2,marine|space
TETHYS-DES-0010,DES,TETHYS-REQ-P1-001,SHORT_UPLOAD command handler — N bytes from explicit address; stateless (no MTA mutation),slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ASAM XCP 1.4 Part 2 §1.3.3.6,2,marine|space
TETHYS-DES-0011,DES,TETHYS-ADR-0007,A2L parser facade (Tethys-master) — parse + emit canonical form; round-trip equivalence preserved,master/src/tethys_master/protocol/a2l.py TODO(Phase-2 PR-30),master/tests/test_a2l.py TODO(Phase-2 PR-30); .github/workflows/a2l-roundtrip.yml,ASAM MCD-2 MC v1.7 §4.4.1; §4.4.2; §4.4.10; §4.4.18,2,marine|space
TETHYS-REQ-FAULT-001,REQ,TETHYS-ADR-0010,Drop 1 of every N DTO packets; master emits DAQ_GAP event; slave unchanged; pass when count(DAQ_GAP) == ceil(total/N) — TODO(Phase-3+5),slave/src/core/daq.c TODO(Phase-3); slave/src/transport/udp.c TODO(Phase-5),slave/tests/robustness/test_robustness_catalogue.c (row 1) TODO(Phase-3),ASAM XCP 1.4 Part 2 §3 (CTR); AUTOSAR PRS E2E §4.3.3 (Loss),10,marine|space
TETHYS-REQ-FAULT-002,REQ,TETHYS-ADR-0010,Burst-K consecutive DTO loss; master emits one DAQ_GAP with packets_lost=K within ±1ms — TODO(Phase-3+5),slave/src/core/daq.c TODO(Phase-3); slave/src/transport/udp.c TODO(Phase-5),slave/tests/robustness/test_robustness_catalogue.c (row 2) TODO(Phase-3),ASAM XCP 1.4 Part 2 §3 (CTR); AUTOSAR PRS E2E §4.3.3 (Loss); IEC 61784-3 ed.4 §6,10,marine|space
TETHYS-REQ-FAULT-003,REQ,TETHYS-ADR-0010,Reorder DTO packets at distance D; out-of-order packets dropped via CTR gap detection; MDF4 remains valid — TODO(Phase-3+5),master/src/tethys_master/protocol/ctr_tracker.py TODO(Phase-3); slave/src/transport/udp.c TODO(Phase-5),slave/tests/robustness/test_robustness_catalogue.c (row 3) TODO(Phase-3),ASAM XCP 1.4 Part 2 §3 (CTR); AUTOSAR PRS E2E §4.3.3 (Insertion),10,marine|space
TETHYS-REQ-FAULT-004,REQ,TETHYS-ADR-0010,Duplicate DTO packets at rate R; CTR detects duplicates; master count(duplicate) ≈ R × total — TODO(Phase-3+5),master/src/tethys_master/protocol/ctr_tracker.py TODO(Phase-3); slave/src/transport/udp.c TODO(Phase-5),slave/tests/robustness/test_robustness_catalogue.c (row 4) TODO(Phase-3),ASAM XCP 1.4 Part 2 §3 (CTR); AUTOSAR PRS E2E §4.3.3 (Repetition),10,marine|space
TETHYS-REQ-FAULT-005,REQ,TETHYS-ADR-0010,Single-bit corruption on DTO payload — transport CRC drops the frame; reduces to row 1 (loss) — TODO(Phase-5),slave/src/transport/can_fd.c TODO(Phase-5); slave/src/transport/udp.c TODO(Phase-5),slave/tests/robustness/test_robustness_catalogue.c (row 5) TODO(Phase-5),IEC 61784-3 ed.4 §6; AUTOSAR PRS E2E §4.3.3 (Corruption),10,marine|space
TETHYS-REQ-FAULT-006,REQ,TETHYS-ADR-0010,Single-bit corruption on CTO payload — transport CRC drops; master retries once; final command succeeds — TODO(Phase-5),master/src/tethys_master/protocol/cto_retry.py TODO(Phase-5),slave/tests/robustness/test_robustness_catalogue.c (row 6) TODO(Phase-5),ASAM XCP 1.4 Part 2 §1.3.1 (CTO ACK/RES); IEC 61784-3 ed.4 §6,10,marine|space
TETHYS-REQ-FAULT-007,REQ,TETHYS-ADR-0010,CTO timeout (no slave response); master retries 3 then declares connection lost — TODO(Phase-5),master/src/tethys_master/protocol/cto_retry.py TODO(Phase-5),slave/tests/robustness/test_robustness_catalogue.c (row 7) TODO(Phase-5),ASAM XCP 1.4 Part 2 §1.3.1 (CTO timeout); AUTOSAR PRS E2E §4.3.3 (Delay),10,marine|space
TETHYS-REQ-FAULT-008,REQ,TETHYS-ADR-0010,Slave reboot mid-DAQ; CONNECT mismatch detected on reconnect; master resets CTR + restarts DAQ — TODO(Phase-3),slave/src/core/xcp_dispatcher.c (CONNECT path); master/src/tethys_master/protocol/session.py TODO(Phase-3),slave/tests/robustness/test_robustness_catalogue.c (row 8) TODO(Phase-3),ASAM XCP 1.4 Part 2 §1.3.2.4 (CONNECT),10,marine|space
TETHYS-REQ-FAULT-009,REQ,TETHYS-ADR-0010,A2L drift (slave hash ≠ master A2L hash); master refuses to start DAQ; requires A2L re-fetch — TODO(Phase-2 PR-30 + Phase-5),master/src/tethys_master/protocol/a2l.py TODO(Phase-2),slave/tests/robustness/test_robustness_catalogue.c (row 9) TODO(Phase-2),ASAM MCD-2 MC v1.7 §1; ASAM XCP 1.4 Part 2 §1.3.2.4,10,marine|space
TETHYS-REQ-FAULT-010,REQ,TETHYS-ADR-0010,CRC mismatch on CAL write; master rolls back; old value preserved; error surfaced — TODO(Phase-4),slave/src/core/cal.c TODO(Phase-4); master/src/tethys_master/protocol/cal.py TODO(Phase-4),slave/tests/robustness/test_robustness_catalogue.c (row 10) TODO(Phase-4),ASAM XCP 1.4 Part 2 §1.3.4 (DOWNLOAD); §1.5 (BUILD_CHECKSUM),10,marine|space
TETHYS-REQ-FAULT-011,REQ,TETHYS-ADR-0010,Bus-off on CAN-FD; master observes connection-lost event; auto-reconnect within 5s of bus recovery — TODO(Phase-5),slave/src/transport/socketcan.c TODO(Phase-5),slave/tests/robustness/test_robustness_catalogue.c (row 11) TODO(Phase-5),ISO 11898-1:2024 §10 (bus-off recovery); AUTOSAR PRS E2E §4.3.3,10,marine|space
TETHYS-REQ-FAULT-012,REQ,TETHYS-ADR-0010,ECC double-bit error on CAL page (space) — EDAC raises EV_FAULT; slave reloads from flash mirror — TODO(Phase-8),slave/src/core/edac.c TODO(Phase-8); slave/src/core/cal.c TODO(Phase-8),slave/tests/robustness/test_robustness_catalogue.c (row 12) TODO(Phase-8),ECSS-E-ST-40C Rev.1 §5.4.3.4; ECSS-Q-ST-60-02C §5 (EDAC),10,space
TETHYS-REQ-FAULT-013,REQ,TETHYS-ADR-0006,Service-mode auth failure (wrong key); after 3 failed unlocks slave locks for 10 minutes — TODO(Phase-8),slave/src/core/seed_and_key.c TODO(Phase-8); slave/src/core/service_mode.c TODO(Phase-8),slave/tests/robustness/test_robustness_catalogue.c (row 13) TODO(Phase-8),ASAM XCP 1.4 Part 2 §1.3.5 (seed-and-key); NIST FIPS 197,10,space
TETHYS-REQ-FAULT-014,REQ,TETHYS-ADR-0010,MTU overflow (CTO > MAX_CTO); slave rejects with ERR_CMD_SYNTAX; no state change — RUNS NOW,slave/src/core/xcp_dispatcher.c,slave/tests/robustness/test_robustness_catalogue.c (row 14),ASAM XCP 1.4 Part 2 §3.1 (MAX_CTO); Table 12 (ERR_CMD_SYNTAX),10,marine|space
TETHYS-REQ-FAULT-015,REQ,TETHYS-ADR-0010,Malformed CTO PID byte; slave rejects with ERR_CMD_UNKNOWN; no crash; ASan/UBSan clean — RUNS NOW,slave/src/core/xcp_dispatcher.c; slave/fuzz/fuzz_cto_dispatcher.c,slave/tests/robustness/test_robustness_catalogue.c (row 15); slave/fuzz/corpus/cto/,ASAM XCP 1.4 Part 2 §3.1 (PID); Table 12 (ERR_CMD_UNKNOWN); MISRA C:2023,10,marine|space
TETHYS-REQ-FAULT-016,REQ,TETHYS-ADR-0010,Continuous loss > blackout bound (§6.2); master alert fires within ±100ms of bound — TODO(Phase-3+5),master/src/tethys_master/protocol/blackout_timer.py TODO(Phase-3),slave/tests/robustness/test_robustness_catalogue.c (row 16) TODO(Phase-3),ASAM XCP 1.4 Part 2 §3 (CTR); IEC 61784-3 ed.4 §6,10,marine|space
TETHYS-REQ-LOSS-001,REQ,TETHYS-ADR-0010,Marine/UDP/master→slave/CTO — raw ≤1e-4 per pkt; residual ≤1e-9 per cmd post-retry cap 3,master/src/tethys_master/transport/udp.py TODO(Phase-5); master/src/tethys_master/protocol/cto_retry.py TODO(Phase-5),slave/tests/robustness/test_loss_budget_marine_udp.c TODO(Phase-5),IEC 61162-450 ed.3; ASAM XCP 1.4 Part 2 §1.3.1; IEC 61784-3 ed.4 §6,5,marine
TETHYS-REQ-LOSS-002,REQ,TETHYS-ADR-0010,Marine/UDP/slave→master/DAQ — raw ≤1e-4 per pkt; residual n/a (unreliable by design); CTR → DAQ_GAP into MDF4,slave/src/transport/udp.c TODO(Phase-5); master/src/tethys_master/protocol/ctr_tracker.py TODO(Phase-3),slave/tests/robustness/test_loss_budget_marine_udp.c TODO(Phase-5),IEC 61162-450 ed.3; ASAM XCP 1.4 Part 2 §3 (CTR),5,marine
TETHYS-REQ-LOSS-003,REQ,TETHYS-ADR-0010,Marine/UDP/slave→master/CAL response — same as row 001,master/src/tethys_master/transport/udp.py TODO(Phase-5),slave/tests/robustness/test_loss_budget_marine_udp.c TODO(Phase-5),IEC 61162-450 ed.3; ASAM XCP 1.4 Part 2 §1.3.1,5,marine
TETHYS-REQ-LOSS-004,REQ,TETHYS-ADR-0010,Marine/TCP/both/CTO+CAL writes — raw 0 (TCP); residual ≈1e-12 (TCP CRC); TCP retransmit handles loss,master/src/tethys_master/transport/tcp.py TODO(Phase-5),slave/tests/robustness/test_loss_budget_marine_tcp.c TODO(Phase-5),IEC 61162-450 ed.3; RFC 9293 (TCP),5,marine
TETHYS-REQ-LOSS-005,REQ,TETHYS-ADR-0010,Marine/CAN-FD/master→slave/CTO — residual ≤4.7e-11 per frame; error-frame + TEC/REC + CTO retry,slave/src/transport/socketcan.c TODO(Phase-5),slave/tests/robustness/test_loss_budget_marine_canfd.c TODO(Phase-5),ISO 11898-1:2024 §10 (CAN-FD); CiA 2020 proceedings,5,marine
TETHYS-REQ-LOSS-006,REQ,TETHYS-ADR-0010,Marine/CAN-FD/slave→master/DAQ — residual ≤4.7e-11 per frame; CAN error-frame + XCP CTR,slave/src/transport/socketcan.c TODO(Phase-5),slave/tests/robustness/test_loss_budget_marine_canfd.c TODO(Phase-5),ISO 11898-1:2024 §10; ASAM XCP 1.4 Part 2 §3 (CTR),5,marine
TETHYS-REQ-LOSS-007,REQ,TETHYS-ADR-0010,Marine/SocketCAN/both — host-drop ε on top of row 005; smoke test for minimum throughput,slave/src/transport/socketcan.c TODO(Phase-5),slave/tests/robustness/test_loss_budget_socketcan_smoke.c TODO(Phase-5),ISO 11898-1:2024 §10; (host scheduling characterised in PR-5 transport conformance),5,marine
TETHYS-REQ-LOSS-008,REQ,TETHYS-ADR-0010,Space/UART/SxI+COP-1 AD/CTO+CAL+STIM — raw BER 1e-7; residual ≤1e-12 per frame post-ARQ,slave/src/transport/uart_sxi.c TODO(Phase-5+8); slave/src/transport/cop1_ad.c TODO(Phase-8),slave/tests/robustness/test_loss_budget_space_sxi_cop1.c TODO(Phase-8),CCSDS 232.1-B-2 (COP-1) §3; ECSS-E-ST-50-04C; ECSS-E-AS-50-25C Rev.1,8,space
TETHYS-REQ-LOSS-009,REQ,TETHYS-ADR-0010,Space/TM (CCSDS 132.0-B-3)/slave→master/DAQ — mission-window-defined raw; no residual recovery (per protocol),slave/src/transport/ccsds_tm.c TODO(Phase-8); master/src/tethys_master/protocol/ctr_tracker.py TODO(Phase-3),slave/tests/robustness/test_loss_budget_space_tm.c TODO(Phase-8),CCSDS 132.0-B-3 §3; ASAM XCP 1.4 Part 2 §3 (CTR),8,space
TETHYS-REQ-LOSS-010,REQ,TETHYS-ADR-0010,Space/CAN 1-wire FT/both/CTO — residual ≤1e-9 per frame; CAN error-frame + mandatory EDAC on CAL payload,slave/src/transport/can_ft.c TODO(Phase-5+8); slave/src/core/edac.c TODO(Phase-8),slave/tests/robustness/test_loss_budget_space_can_ft.c TODO(Phase-8),ISO 11898-1:2024 §10; CCSDS 232.1-B-2 §3; ECSS-Q-ST-60-02C,8,space
TETHYS-REQ-LOSS-011,REQ,TETHYS-ADR-0010,Space/CAN 1-wire FT/slave→master/DAQ — residual ≤1e-9 per frame; XCP CTR,slave/src/transport/can_ft.c TODO(Phase-5+8),slave/tests/robustness/test_loss_budget_space_can_ft.c TODO(Phase-8),ISO 11898-1:2024 §10; ASAM XCP 1.4 Part 2 §3 (CTR),8,space
TETHYS-REQ-LOSS-012,REQ,TETHYS-ADR-0010,Any/Loopback (posix-sim)/both/any — raw 0; residual 0; observed loss = test failure (Phase-3 acceptance),simulator/src/tethys_sim/loopback.py TODO(Phase-3),slave/tests/robustness/test_loss_budget_loopback.c TODO(Phase-3),(no standard; reliability-by-construction),3,marine|space
TETHYS-REQ-MARINE-001,REQ,TETHYS-ADR-0002,24-hour soak with zero leaks; watchdog never tripped; 1 kHz DAQ on STM32F4/F7 marine demo workload — TODO(Phase-7),slave/src/platform/stm32/ TODO(Phase-7); slave/profiles/marine.cmake TODO(Phase-7),hil/marine_soak_24h.py TODO(Phase-7),IACS UR E22 Rev.3 §5; IEC 60945 ed.4,7,marine
TETHYS-REQ-MARINE-002,REQ,TETHYS-ADR-0002,CAN-FD + Ethernet (W5500) transports on STM32 Nucleo target — TODO(Phase-5+7),slave/src/transport/socketcan.c TODO(Phase-5); slave/src/transport/w5500.c TODO(Phase-7),slave/tests/test_transport_canfd.c TODO(Phase-5); slave/tests/test_transport_w5500.c TODO(Phase-7),ISO 11898-1:2024 §10; IEC 61162-450 ed.3,7,marine
TETHYS-REQ-MARINE-003,REQ,TETHYS-ADR-0002,Marine profile traceability rows filled (IEC 60945 + IACS UR E22 Rev.3) — TODO(Phase-7),docs/traceability.csv,docs/traceability.md,IACS UR E22 Rev.3; IACS UR E26 Rev.1; IEC 60945 ed.4,7,marine
TETHYS-REQ-P0-001,REQ,(root),Monorepo bootstrap via CLI only — uv init + cmake-init + ceedling new + simulator stub,master/pyproject.toml; slave/CMakeLists.txt; simulator/pyproject.toml,docs/research/phase-1-scaffold-execution.md,(no standard; tooling decision),0,marine|space
TETHYS-REQ-P0-002,REQ,(root),Twelve .cursor/rules/*.mdc + .github/instructions/ mirror + AGENTS.md + CLAUDE.md + copilot-instructions.md,.cursor/rules/; .github/instructions/; AGENTS.md; CLAUDE.md; .github/copilot-instructions.md,.github/workflows/rules-mirror-drift.yml,(no standard; process decision),0,marine|space
TETHYS-REQ-P0-003,REQ,(root),README + system-context + dep-graph + ADR-0001..ADR-0008 in MADR v3.0,README.md; docs/architecture/system-context.md; docs/adr/*.md,docs/research/phase-0-docs-execution.md,(no standard; documentation decision),0,marine|space
TETHYS-REQ-P0-004,REQ,(root),Eleven CI workflows + issue/PR templates + CODEOWNERS + branch-protection.json,.github/workflows/; .github/ISSUE_TEMPLATE/; .github/PULL_REQUEST_TEMPLATE.md; .github/CODEOWNERS; infrastructure/github/branch-protection.json,docs/research/phase-0-ci-execution.md; docs/research/phase-0-ci-fixes-f5-execution.md,(no standard; process decision),0,marine|space
TETHYS-REQ-P0-005,REQ,(root),Coding standards — clang-format + clang-tidy + editorconfig + cppcheck.cfg MISRA + pre-commit + coding-standard.md,.clang-format; .clang-tidy; .editorconfig; cppcheck.cfg; .pre-commit-config.yaml; docs/coding-standard.md,docs/research/phase-0-coding-standards-execution.md,MISRA C:2023; ISO 26262-6:2018 §5.4.4,0,marine|space
TETHYS-REQ-P0-006,REQ,(root),Seven runbooks (release-process + hardware-setup + hil-bench-setup + traceability-matrix-maintenance + incident-and-defect + supply-chain-and-sbom + demo-recording) + index,docs/runbooks/,docs/research/phase-0-runbooks-execution.md,(no standard; documentation decision),0,marine|space
TETHYS-REQ-P0-007,REQ,(root),Twelve milestones + 52 labels + Phase-0 Research-Note/Epic/Phase-Acceptance issues; auto-add to project board,(GitHub via gh CLI + Projects v2),docs/research/phase-0-issues-execution.md,(no standard; process decision),0,marine|space
TETHYS-REQ-P0-008,REQ,(root),github-setup runbook — PAT scopes + repo visibility + branch protection + CODEOWNERS + labels + milestones,docs/runbooks/github-setup.md,docs/research/phase-0-github-setup.md,(no standard; process decision),0,marine|space
TETHYS-REQ-P0-009,REQ,(root),System requirements + packet-loss tolerance budget (~35 standards) + ADR-0010 draft seeded,docs/research/phase-0-system-requirements.md; docs/research/phase-0-standards-matrix.csv,docs/research/phase-0-standards-matrix.md; docs/adr/0010-packet-loss-tolerance-budget.md,IEC 61508-1:2010; IEC 61784-3 ed.4; ISO 26262-9:2018,0,marine|space
TETHYS-REQ-P0-010,REQ,(root),Ceedling + Unity scaffold + layout rebrand slave→tethys (include/tethys/ + src/core/),slave/tests/; slave/include/tethys/; slave/src/core/,docs/research/phase-0-scaffold-tests-execution.md; docs/research/phase-0-layout-execution.md,(no standard; tooling decision),0,marine|space
TETHYS-REQ-P1-001,REQ,TETHYS-REQ-P0-001,Hello-world XCP CONNECT/DISCONNECT/GET_VERSION/GET_STATUS over UDP loopback — slave side,slave/src/core/xcp_dispatcher.c; simulator/src/tethys_sim/,slave/tests/test/test_xcp_dispatcher.c; simulator/tests/,ASAM XCP 1.4 Part 2 §1.3.2.4; §1.3.2.5; §1.3.2.6; §1.4.2.1,1,marine|space
TETHYS-REQ-P1-002,REQ,TETHYS-REQ-P0-001,Hello-world XCP exchange — master side single-command CLI hits the same loopback,master/src/tethys_master/; master/src/tethys_master/cli/,master/tests/,ASAM XCP 1.4 Part 2 §1.3.2.4; §1.3.2.5,1,marine|space
TETHYS-REQ-SPACE-001,REQ,TETHYS-ADR-0002,EDAC wrapper around CAL pages — SEC-DED Hamming; double-bit fault triggers flash mirror reload — TODO(Phase-8),slave/src/core/edac.c TODO(Phase-8),slave/tests/test_edac.c TODO(Phase-8),ECSS-E-ST-40C Rev.1 §5.4.3.4; ECSS-Q-ST-60-02C §5; NPR 7150.2D §3,8,space
TETHYS-REQ-SPACE-002,REQ,TETHYS-ADR-0006,AES-128 derived seed-and-key — 16-byte challenge + 16-byte response — TODO(Phase-8),slave/src/core/seed_and_key.c TODO(Phase-8),slave/tests/test_seed_and_key.c TODO(Phase-8),ASAM XCP 1.4 Part 2 §1.3.5; NIST FIPS 197,8,space
TETHYS-REQ-SPACE-003,REQ,TETHYS-ADR-0002,Deterministic ODT scheduling — fixed cycle budget; no priority inversion in DAQ tick — TODO(Phase-8),slave/src/core/odt.c TODO(Phase-8); slave/src/core/daq.c TODO(Phase-8),slave/tests/test_odt_deterministic.c TODO(Phase-8),ECSS-E-ST-40C Rev.1 §5.4.3.1; DO-178C §6.3 (DAL-B); ISO 26262-6:2018 §7.4.16,8,space
TETHYS-REQ-SPACE-004,REQ,TETHYS-ADR-0001,Service-mode authenticated unlock — inactivity auto-lock (default 60s); 3 failures lock 10min — TODO(Phase-8),slave/src/core/service_mode.c TODO(Phase-8),slave/tests/test_service_mode.c TODO(Phase-8),ASAM XCP 1.4 Part 2 §1.3.5; NPR 7150.2D §3,8,space
TETHYS-REQ-SPACE-005,REQ,TETHYS-ADR-0003,MC/DC ≥95% on protocol core + fault-injection bench with documented detection per fault — TODO(Phase-8),slave/src/core/; slave/tests/,.github/workflows/coverage.yml; slave/tests/robustness/,DO-178C §6.4.4.2 (MC/DC); ECSS-E-ST-40C Rev.1 §6.3.5; NPR 7150.2D §4,8,space
TETHYS-REQ-VER-001,REQ,(root),Living requirements → design → code → test traceability matrix in docs/traceability.csv,docs/traceability.csv; docs/traceability.md,docs/research/phase-10-verification-foundations.md,ECSS-E-ST-40C Rev.1 §5.7; NPR 7150.2D §3; DO-178C §11.21,10,marine|space
TETHYS-REQ-VER-002,REQ,(root),libFuzzer + AFL++ corpora committed; nightly fuzz growth tracked; new crashes open issues automatically,slave/fuzz/fuzz_cto_dispatcher.c; slave/fuzz/corpus/cto/; slave/fuzz/corpus/a2l/; slave/fuzz/fuzz_a2l_parser.py,.github/workflows/fuzz-nightly.yml,DO-178C §6.4.4.1; MISRA C:2023; ECSS-E-ST-40C Rev.1 §5.5,10,marine|space
TETHYS-REQ-VER-003,REQ,(root),Robustness suite covers the 16 fault-injection rows from ADR-0010 §10 (rows 14+15 run today; 14 pending Phase-2..8),slave/tests/robustness/test_robustness_catalogue.c,slave/tests/project.yml,IEC 61784-3 ed.4 §6; AUTOSAR PRS E2E §4.3.3; DO-178C §6.4.2,10,marine|space
TETHYS-REQ-VER-004,REQ,(root),gcovr ≥95% statement + ≥90% MC/DC on protocol core; zero open MISRA mandatory/required deviations — TODO(Phase-2..8),slave/src/core/; slave/tests/,.github/workflows/coverage.yml; .github/workflows/misra-gate.yml,DO-178C §6.4.4.2 (MC/DC); MISRA C:2023; ECSS-E-ST-40C Rev.1 §6.3.5,10,marine|space
TETHYS-REQ-XPRT-001,REQ,TETHYS-ADR-0004,UDP/IPv4 transport (master ↔ slave/posix-sim) — Phase 1 hello-world floor; Phase 5 conformance,master/src/tethys_master/transport/udp.py; slave/src/transport/udp.c TODO(Phase-5),slave/tests/test_transport_udp.c TODO(Phase-5),IEC 61162-450 ed.3; ASAM XCP 1.4 Part 3 (XCP on Ethernet),5,marine
TETHYS-REQ-XPRT-002,REQ,TETHYS-ADR-0004,TCP/IPv4 transport (CAL writes; reliable one-shot) — TODO(Phase-5),master/src/tethys_master/transport/tcp.py TODO(Phase-5); slave/src/transport/tcp.c TODO(Phase-5),slave/tests/test_transport_tcp.c TODO(Phase-5),ASAM XCP 1.4 Part 3 (XCP on Ethernet); RFC 9293 (TCP),5,marine
TETHYS-REQ-XPRT-003,REQ,TETHYS-ADR-0004,CAN-FD transport via CANable 2.0 (SocketCAN host adapter) — TODO(Phase-5),master/src/tethys_master/transport/socketcan.py TODO(Phase-5); slave/src/transport/socketcan.c TODO(Phase-5),slave/tests/test_transport_canfd.c TODO(Phase-5),ASAM XCP 1.4 Part 3 (XCP on CAN); ISO 11898-1:2024 §10,5,marine|space
TETHYS-REQ-XPRT-004,REQ,TETHYS-ADR-0004,SocketCAN host adapter minimum-throughput smoke test (10000 frames in <5s zero loss) — TODO(Phase-5),slave/src/transport/socketcan.c TODO(Phase-5),slave/tests/test_socketcan_smoke.c TODO(Phase-5),ISO 11898-1:2024 §10; (host-scheduling regression sentinel),5,marine
