id,family,name,version,scope,applicability_marine,applicability_space,applicability_dev_bench,primary_citation_section,retrieval_date,url,notes
S25,marine,IEC 60945 + IEC 61162-1 + NMEA 2000 + ISO 24060 + IMO MSC.428(98),IEC 60945 ed.4 (2002); ISO 24060:2021,Marine environmental + NMEA + ship SW logging + IMO cyber,reference,not-applicable,reference,phase-0-system-requirements.md#36-marine,2026-05-14,https://www.iso.org/standard/77761.html,ISO 24060 referenced by UR E22
S26,marine,DNV-CG-0264 + LR ShipRight Software,DNV-CG-0264 (latest); LR ShipRight (latest),Class-society software guidance alternatives to IACS,reference,not-applicable,reference,phase-0-system-requirements.md#36-marine,2026-05-14,https://www.dnv.com/maritime/publications/computer-based-systems-class-guideline.html,Alternative class anchors
S27,protocol,Sauci/pya2l + christoph2/pyA2L,latest,A2L parser libraries,used,used,used,parent-plan-section-3.1,2026-05-14,https://github.com/Sauci/pya2l,BSD-3 preferred; GPLv2 fallback
S28,protocol,vectorgrp/XCPlite,latest,MIT-licensed reference XCP slave for Ethernet,reference,reference,reference,parent-plan-section-3.2,2026-05-14,https://github.com/vectorgrp/XCPlite,Reading reference; Tethys clean-rooms against ASAM XCP 1.4
S29,transport,ISO 11898-1,2024,CAN data link layer + physical signalling; CAN-FD now part of this,used,used,used,phase-0-system-requirements.md#37-can-family,2026-05-14,https://www.iso.org/standard/86384.html,Paywalled
S30,marine,IACS UR E27,Rev.1 (Nov 2023),Cyber resilience of on-board systems and equipment,used,not-applicable,reference,phase-0-system-requirements.md#36-marine,2026-05-14,https://www.iacs.org.uk/resolutions/unified-requirements/ur-e/,Cyber-related normative reference
S31,protocol,ASAM MCD-2 MC (A2L),1.7,A2L description file format,used,used,used,phase-0-system-requirements.md#31-protocol-layer-xcp-itself--nearest-cousins,2026-05-14,https://www.asam.net/standards/detail/mcd-2-mc/,Paywalled; parsed by pya2l
S32,space,CCSDS 232.0-B-4,B-4 (Oct 2021),TC Space Data Link Protocol,not-applicable,used,reference,phase-0-system-requirements.md#34-space,2026-05-14,https://ccsds.org/Pubs/232x0b4.pdf,Carries Type-AD frames for AD service
S33,space,ECSS-E-ST-50-04C + ECSS-E-ST-50-03C + ECSS-E-ST-50-12C,50-04C (2008); 50-03C (2008); 50-12C (2019),TC protocols + TM frame protocol + SpaceWire,not-applicable,used,reference,phase-0-system-requirements.md#34-space,2026-05-14,https://ecss.nl/standard/,CCSDS-aligned via adoption notices
S34,industrial,IEC 61158,multiple parts,Industrial communication networks fieldbus families,reference,reference,reference,phase-0-system-requirements.md#32-generic-functional-safety,2026-05-14,https://webstore.iec.ch/publication/61124,Reference for marine and space fieldbus comparisons
S35,quality,ISO/IEC 12207 + ISO/IEC 15288 + ISO/IEC 25000 + ISO/IEC 90003 + ISO 10007,12207:2017; 15288:2015; 25000:2014; 90003:2018; 10007:2017,Systems and software engineering process and quality standards,used,used,used,phase-0-system-requirements.md#36-marine,2026-05-14,https://www.iso.org/standard/63712.html,Referenced normatively by IACS UR E22 Rev.3
